Taxon_name,Common_name,CW_comments,NEW_COMMENTS,MBA_guide,Comments
Agarophyton vermiculophyllum,Red alga (wart weed),"Name now changed back to Gracilaria vermiculophylla.                                                                       Can really only be confirmed by DNA analysis. But if you find a loose straggly seaweed on muddy estuarine shores and you have a seaweed expert to hand -it is worth trying to confirm, as it is spreading in the SW (found at Kingsbridge recently). ",,,UK Marine Strategy NIS monitoring list 2020
Ammothea hilgendorfi,Japanese sea spider,Needs a very good photo showing stripy legs. Swe have a few records from Plymouth area. ,,Y,
Amphibalanus amphitrite,Striped barnacle,Most likely confused with Perforatus perforatus. We haven't found it on shores in the SW.,,Y,UK Marine Strategy NIS monitoring list 2020
Arcuatula senhousia,Asian date mussel,Small mussel with distinctive shiny green tinge. Currently only known from Solent. Muddy shores.,,Y,UK Marine Strategy NIS monitoring list 2020
Asparagopsis armata,Harpoon weed,Yes - I presume you are familiar with this one.,,Y,UK Marine Strategy NIS monitoring list 2020
Asterias amurensis ,Northern Pacific seastar,Horizon but good to keep on list.,"Do not validate any records, specimen would require examination by NHM, and specimen sent to NHM.",,Horizon species - UK Marine Strategy NIS monitoring list 2020
Asterocarpa humilis,Compass sea squirt,Quite likely. I photo of open siphons would be ideal but they can be reluctant to open up. ,,Y,UK Marine Strategy NIS monitoring list 2020
Austrominius modestus,Darwin's barnacle,Yes - I presume you are familiar with this one.,,Y,
Bispira polyomma,Purple fan worm,Do you need ID info for this one?,Check with JB before validation.,Y,Newly found in 2023/4 marina surveys-  not yet rocky shores but would be interesting to find in these habitats
Bonnemaisonia hamifera,Hook weed,Yes - I presume you are familiar with this one.,,Y,UK Marine Strategy NIS monitoring list 2020
Botrylloides diegensis,San diego Sea squirt,"Only record if distinct colour forms seen, see guide. ",,Y,
Botrylloides violaceus,Orange cloak sea squirt,"Only if you see larvae. Try leaving some in a bucket while you continue to survey, the large larvae may then be seen swimming around. You may also be able to see them (pink) with wrapped tail in the colony with a good hand lens.",,Y,
Botryocladia wrightii,Golden membrane weed,Only known from Falmouth in SW. (was Chrysymenia wrightii),,Y,UK Marine Strategy NIS monitoring list 2020
Bugula neritina,Ruby bryzoan,Yes - I presume you are familiar with this one.,,Y,
Callinectes sapidus,Atlantic blue crab,Yes - keep an eye out.,Inform CW of any records.,,Current species of interest - unlikely but first dead specimen was found in Brighton rockpool in Summer 2024
Caprella mutica,Japanese skeleton shrimp,Large red skeleton shrimp - good photo of body segments needed. Often on Sargassum.,,Y,UK Marine Strategy NIS monitoring list 2020
Caulacanthus okamurae,Pom pom weed,Yes - I presume you are familiar with this one.,,Y,UK Marine Strategy NIS monitoring list 2020
Celtodoryx ciocalyptoides,Cauliflower sponge,Horizon but good to keep on list.,"Do not validate any records, specimen would require examination by JB/CW, and specimen sent to NHM.",Y,UK Marine Strategy NIS monitoring list 2020
Codium fragile,Green sea fingers,Needs a squash prep and microscope to distinguish from native subspecies. Might be possible with hand lens.,,Y,
Colpomenia peregrina,Oyster thief,Yes - I presume you are familiar with this one.,,Y,
Corella eumyota,Orange tipped seasquirt,Yes - I presume you are familiar with this one.,,Y,UK Marine Strategy NIS monitoring list 2020
Crepidula fornicata,Slipper limpet,Yes - I presume you are familiar with this one.,,Y,UK Marine Strategy NIS monitoring list 2020
Diadumene lineata,Orange striped anemone,"Good photo with stripes needed. Well established especially in low salinity areas, in Falmouth and Plymouth.",,Y,UK Marine Strategy NIS monitoring list 2020
Didemnum vexillum,Carpet seasquirt,"Tricky to ID, try to photo water channels. Also check for leathery peelability.","Do not validate, send sample to JB/CW",Y,UK Marine Strategy NIS monitoring list 2020
