Region,Agarophyton vermiculophyllum,Ammothea hilgendorfi,Amphibalanus amphitrite,Arcuatula senhousia,Asparagopsis armata,Asterocarpa humilis,Austrominius modestus,Bonnemaisonia hamifera,Botrylloides diegensis,Botrylloides violaceus,Botryocladia wrightii,Bugula neritina,Caprella mutica,Caulacanthus okamurae,Codium fragile,Colpomenia peregrina,Corella eumyota,Crepidula fornicata,Diadumene lineata,Didemnum vexillum,Dyspanopeus sayi,Ensis leei,Eriocheir sinensis,Ficopomatus enigmaticus,Grateloupia turuturu,Hemigrapsus sanguineus,Hemigrapsus takanoi,Hesperibalanus fallax,Hydroides ezoensis,Magallana gigas,Perophora japonica,Sargassum muticum,Schizoporella japonica,Styela clava,Tricellaria inopinata,Undaria pinnatifida,Urosalpinx cinerea,Watersipora subatra
Welsh Coast,5,0,10,0,58,12,3428,22,11,23,9,18,10,39,10,88,199,738,61,23,1,20,10,26,79,21,11,8,0,194,13,358,15,189,14,33,9,14
Northern Ireland Coast,6,0,0,0,128,25,110,72,0,15,0,17,27,6,23,102,132,289,1,0,0,1,0,1,6,117,117,0,0,268,5,351,11,29,19,135,0,5
South West Coast,1,6,8,0,948,97,1638,273,117,75,3,118,50,45,52,586,211,1544,86,47,0,1,3,50,109,178,103,11,0,1419,96,1651,2,410,99,344,3,203
South East Coast,0,35,7,23,40,21,610,9,42,21,0,69,32,80,6,37,82,1252,9,60,0,64,28,59,135,0,15,0,23,407,32,341,0,220,48,62,30,27
East of England Coast,0,4,0,0,2,2,251,0,6,15,0,14,3,0,0,7,46,883,0,2,0,127,23,3,60,2,37,0,0,109,138,30,0,112,2,39,422,3
Scottish Coast,0,0,1,0,232,6,147,1185,0,4,0,2,341,0,110,115,78,275,57,26,0,30,0,0,0,76,73,0,0,316,0,297,94,77,30,75,0,0
North East England Coast,0,0,0,0,12,1,26,0,1,1,0,1,1,0,0,13,19,29,0,1,0,0,2,1,0,0,0,0,0,27,1,17,0,1,1,1,0,1
East Midlands Coast merged,0,0,0,0,22,1,130,1,1,1,0,1,1,0,0,6,5,50,0,1,0,6,18,1,0,0,0,0,0,42,1,31,0,1,1,3,0,1
Yorkshire & the Humber Coast,0,0,0,0,22,1,123,1,1,1,0,1,1,0,0,6,5,40,0,1,0,1,16,1,0,0,0,0,0,42,1,31,0,1,1,3,0,1
North West Coast,0,0,0,0,0,0,319,0,0,0,0,0,1,0,1,0,0,1,0,0,0,57,24,0,0,0,0,0,0,5,0,4,0,8,0,2,0,0
