species,url,image_url,license,attribution,common_name,local_image,how_to_spot
Agarophyton vermiculophyllum,https://www.inaturalist.org/taxa/199382,https://inaturalist-open-data.s3.amazonaws.com/photos/5546333/medium.jpg,cc-by-nc,(c) Susan J. Hewitt,NA,C:\Users\theho\OneDrive - therockpoolproject.co.uk\Github repos\nbn\images\Agarophyton_vermiculophyllum.jpg,temporary text
Ammothea hilgendorfi,https://www.inaturalist.org/taxa/51489,https://inaturalist-open-data.s3.amazonaws.com/photos/3281/medium.jpg,cc-by,(c) Ken-ichi Ueda,Hilgendorf's Sea Spider,C:\Users\theho\OneDrive - therockpoolproject.co.uk\Github repos\nbn\images\Ammothea_hilgendorfi.jpg,temporary text
Amphibalanus amphitrite,https://www.inaturalist.org/taxa/119104,https://inaturalist-open-data.s3.amazonaws.com/photos/170087001/medium.jpg,cc-by-nc,(c) Loïs Rancilhac,Striped Barnacle,C:\Users\theho\OneDrive - therockpoolproject.co.uk\Github repos\nbn\images\Amphibalanus_amphitrite.jpg,temporary text
Amphibalanus reticulatus,https://www.inaturalist.org/taxa/209082,https://inaturalist-open-data.s3.amazonaws.com/photos/13370496/medium.jpeg,cc-by-nc,(c) Jon McIntyre,Reticulated Barnacle,C:\Users\theho\OneDrive - therockpoolproject.co.uk\Github repos\nbn\images\Amphibalanus_reticulatus.jpg,temporary text
Asterocarpa humilis,https://www.inaturalist.org/taxa/651661,https://inaturalist-open-data.s3.amazonaws.com/photos/172395761/medium.jpeg,cc-by-nc,(c) Sylvain Le Bris,Compass Sea Squirt,C:\Users\theho\OneDrive - therockpoolproject.co.uk\Github repos\nbn\images\Asterocarpa_humilis.jpg,temporary text
Bispira polyomma,https://www.inaturalist.org/taxa/560511,https://inaturalist-open-data.s3.amazonaws.com/photos/95930899/medium.jpg,cc-by-nc,(c) Glenn Biscop,Purple fan worm,C:\Users\theho\OneDrive - therockpoolproject.co.uk\Github repos\nbn\images\Bispira_polyomma.jpg,temporary text
Bonnemaisonia hamifera,https://www.inaturalist.org/taxa/182985,https://inaturalist-open-data.s3.amazonaws.com/photos/354198400/medium.jpg,cc-by-nc,(c) Jamie O'Neill,Bonnemaison's Hook Weed,C:\Users\theho\OneDrive - therockpoolproject.co.uk\Github repos\nbn\images\Bonnemaisonia_hamifera.jpg,temporary text
Botrylloides diegensis,https://www.inaturalist.org/taxa/344286,https://inaturalist-open-data.s3.amazonaws.com/photos/313472699/medium.jpeg,cc-by-nc,(c) Frédéric ANDRE,San Diego Sea Squirt,C:\Users\theho\OneDrive - therockpoolproject.co.uk\Github repos\nbn\images\Botrylloides_diegensis.jpg,temporary text
Botrylloides violaceus,https://www.inaturalist.org/taxa/81776,https://inaturalist-open-data.s3.amazonaws.com/photos/416375301/medium.jpg,cc-by-nc,(c) Pauline Walsh Jacobson,Chain Tunicate,C:\Users\theho\OneDrive - therockpoolproject.co.uk\Github repos\nbn\images\Botrylloides_violaceus.jpg,temporary text
Bugula neritina,https://www.inaturalist.org/taxa/81637,https://inaturalist-open-data.s3.amazonaws.com/photos/315118131/medium.jpeg,cc-by-nc,(c) Janine Baker,brown bryozoan,C:\Users\theho\OneDrive - therockpoolproject.co.uk\Github repos\nbn\images\Bugula_neritina.jpg,temporary text
